route_id,path_type,direction,seq,sid,sname,name_e,lat,lon,path_id
ARL,main,go,0,A01,สุวรรณภูมิ,Suvarnabhumi,13.69808701,100.7522355,
ARL,main,go,1,A02,ลาดกระบัง,Lat Krabang,13.72773403,100.7486244,
ARL,main,go,2,A03,บ้านทับช้าง,Ban Thap Chang,13.73284402,100.6914572,
ARL,main,go,3,A04,หัวหมาก,Hua Mak,13.73795756,100.6453466,
ARL,main,go,4,A05,รามคำแหง,Ramkhamhaeng,13.74295281,100.6003118,
ARL,main,go,5,A06,มักกะสัน,Makkasan,13.75105968,100.5611013,
ARL,main,go,6,A07,ราชปรารภ,Ratchaprarop,13.75513782,100.5418289,
ARL,main,go,7,A08,พญาไท,Phaya Thai,13.75671306,100.5349773,
ARL,main,back,0,A08,พญาไท,Phaya Thai,13.75671306,100.5349773,
ARL,main,back,1,A07,ราชปรารภ,Ratchaprarop,13.75513782,100.5418289,
ARL,main,back,2,A06,มักกะสัน,Makkasan,13.75105968,100.5611013,
ARL,main,back,3,A05,รามคำแหง,Ramkhamhaeng,13.74295281,100.6003118,
ARL,main,back,4,A04,หัวหมาก,Hua Mak,13.73795756,100.6453466,
ARL,main,back,5,A03,บ้านทับช้าง,Ban Thap Chang,13.73284402,100.6914572,
ARL,main,back,6,A02,ลาดกระบัง,Lat Krabang,13.72773403,100.7486244,
ARL,main,back,7,A01,สุวรรณภูมิ,Suvarnabhumi,13.69808701,100.7522355,
BTS-G,main,go,0,G01,กรุงธนบุรี,Krung Thon Buri,13.721103,100.503684,
BTS-G,main,go,1,G02,เจริญนคร,Charoen Nakhon,13.726478,100.509032,
BTS-G,main,go,2,G03,คลองสาน,Khlong San,13.730379,100.507646,
BTS-G,main,back,0,G03,คลองสาน,Khlong San,13.730379,100.507646,
BTS-G,main,back,1,G02,เจริญนคร,Charoen Nakhon,13.726478,100.509032,
BTS-G,main,back,2,G01,กรุงธนบุรี,Krung Thon Buri,13.721103,100.503684,
BTS-Silom,main,go,0,W01,สนามกีฬาแห่งชาติ,National Stadium,13.746473,100.529073,
BTS-Silom,main,go,1,CEN_SI,สยาม,Siam,13.7456058,100.5341187,
BTS-Silom,main,go,2,S01,ราชดำริ,Ratchadamri,13.73945,100.53944,
BTS-Silom,main,go,3,S02,ศาลาแดง,Sala Daeng,13.7284782,100.5341135,
BTS-Silom,main,go,4,S03,ช่องนนทรี,Chong Nonsi,13.723718,100.5295147,
BTS-Silom,main,go,5,S04,เซนต์หลุยส์,Saint Louis,13.72091,100.52692,
BTS-Silom,main,go,6,S05,สุรศักดิ์,Surasak,13.719228,100.5215297,
BTS-Silom,main,go,7,S06,สะพานตากสิน,Saphan Taksin,13.7188,100.51409,
BTS-Silom,main,go,8,S07,กรุงธนบุรี,Krung Thon Buri,13.72085,100.50272,
BTS-Silom,main,go,9,S08,วงเวียนใหญ่,Wongwian Yai,13.72105,100.49523,
BTS-Silom,main,go,10,S09,โพธิ์นิมิตร,Pho Nimit,13.71916,100.48584,
BTS-Silom,main,go,11,S10,ตลาดพลู,Talat Phlu,13.7142104,100.4768237,
BTS-Silom,main,go,12,S11,วุฒากาศ,Wutthakat,13.71307,100.46884,
BTS-Silom,main,go,13,S12,บางหว้า,Bang Wa,13.7207756,100.4577677,
BTS-Silom,main,back,0,S12,บางหว้า,Bang Wa,13.7207756,100.4577677,
BTS-Silom,main,back,1,S11,วุฒากาศ,Wutthakat,13.71307,100.46884,
BTS-Silom,main,back,2,S10,ตลาดพลู,Talat Phlu,13.7142104,100.4768237,
BTS-Silom,main,back,3,S09,โพธิ์นิมิตร,Pho Nimit,13.71916,100.48584,
BTS-Silom,main,back,4,S08,วงเวียนใหญ่,Wongwian Yai,13.72105,100.49523,
BTS-Silom,main,back,5,S07,กรุงธนบุรี,Krung Thon Buri,13.72085,100.50272,
BTS-Silom,main,back,6,S06,สะพานตากสิน,Saphan Taksin,13.7188,100.51409,
BTS-Silom,main,back,7,S05,สุรศักดิ์,Surasak,13.719228,100.5215297,
BTS-Silom,main,back,8,S04,เซนต์หลุยส์,Saint Louis,13.72091,100.52692,
BTS-Silom,main,back,9,S03,ช่องนนทรี,Chong Nonsi,13.723718,100.5295147,
BTS-Silom,main,back,10,S02,ศาลาแดง,Sala Daeng,13.7284782,100.5341135,
BTS-Silom,main,back,11,S01,ราชดำริ,Ratchadamri,13.73945,100.53944,
BTS-Silom,main,back,12,CEN_SI,สยาม,Siam,13.7456058,100.5341187,
BTS-Silom,main,back,13,W01,สนามกีฬาแห่งชาติ,National Stadium,13.746473,100.529073,
BTS-Sukhumvit,main,go,0,N24,คูคต,Khu Khot,13.932341,100.646626,
BTS-Sukhumvit,main,go,1,N23,แยกคปอ.,Yaek Kor Por Aor,13.924983,100.625876,
BTS-Sukhumvit,main,go,2,N22,พิพิธภัณฑ์กองทัพอากาศ,Royal Thai Air Force Museum,13.917945,100.621715,
BTS-Sukhumvit,main,go,3,N21,โรงพยาบาลภูมิพล-อดุลยเดช,Bhumibol Adulyadej Hospital,13.910722,100.617423,
BTS-Sukhumvit,main,go,4,N20,สะพานใหม่,Saphan Mai,13.896595,100.609132,
BTS-Sukhumvit,main,go,5,N19,สายหยุด,Sai Yud,13.888442,100.604292,
BTS-Sukhumvit,main,go,6,N18,พหลโยธิน 59,Phahon Yothin 59,13.882454,100.600766,
BTS-Sukhumvit,main,go,7,N17,วัดพระศรีมหาธาตุ,Wat Phra Sri Mahathat,13.87518,100.5967,
BTS-Sukhumvit,main,go,8,N16,กรมทหารราบที่ 11,11th Infantry Regiment,13.867528,100.59194,
BTS-Sukhumvit,main,go,9,N15,บางบัว,Bang Bua,13.855994,100.585171,
BTS-Sukhumvit,main,go,10,N14,กรมป่าไม้,Royal Forest Department,13.8502601,100.5817619,
BTS-Sukhumvit,main,go,11,N13,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,13.8422956,100.5771266,
BTS-Sukhumvit,main,go,12,N12,เสนานิคม,Sena Nikhom,13.8363067,100.5737435,
BTS-Sukhumvit,main,go,13,N11,รัชโยธิน,Ratchayothin,13.8298358,100.5698021,
BTS-Sukhumvit,main,go,14,N10,พหลโยธิน 24,Phahon Yothin 24,13.82403,100.5664586,
BTS-Sukhumvit,main,go,15,N09,ห้าแยกลาดพร้าว,Ha Yaek Lat Phrao,13.81644,100.56195,
BTS-Sukhumvit,main,go,16,N08,หมอชิต,Mo Chit,13.8024977,100.5538045,
BTS-Sukhumvit,main,go,17,N07,สะพานควาย,Saphan Khwai,13.7937663,100.5497095,
BTS-Sukhumvit,main,go,18,N05,อารีย์,Ari,13.7796464,100.544598,
