route_station_id,route_id,path_id,path_type,direction,seq,sid,lat,lon,sname,name_e
0,1-1,29,main,go,0,4769,13.8622273865162,100.569130253263,ตรงข้ามหนังสือพิมพ์เดลินิวส์,Dailynews Newspaper (Opposite)
0,1-1,29,main,go,1,3905,13.810159635,100.55919672,มหาวิทยาลัยเซนต์จอห์น,St. John University
0,1-1,29,main,go,2,3916,13.79704684,100.55099104,แยกกำแพงเพชร,Junction Kamphaeng Phet
0,1-1,29,main,go,3,1999,13.7952013298592,100.538635292843,พระราม 6 ซอย 43 แยกประดิพัทธ์,Rama 6 Soi 43
0,1-1,29,main,go,4,1999,13.7952013298592,100.538635292843,พระราม 6 ซอย 43 แยกประดิพัทธ์,Rama 6 Soi 43
0,1-1,29,main,go,5,1791,13.7557627594802,100.524396232176,อุรุพงษ์,Urupong
0,1-1,29,main,go,6,3073,13.74122718,100.5298557,จุฬาฯ หอพักนิสิต,Chulalongkorn Student Dormitory
0,1-1,29,main,go,7,4786,13.7361227,100.52910695,จุฬาลงกรณ์มหาวิทยาลัย (คณะนิติศาสตร์),Chulalongkorn University (Facalty of Law)
0,1-1,29,main,go,8,4817,13.7359864927281,100.529358157824,จุฬาลงกรณ์มหาวิทยาลัย (คณะวิทยาศาสตร์),Chulalongkorn University (Faculty of Science)
0,1-1,29,main,go,9,4055,13.7342936366683,100.525559137824,จุฬาลงกรณ์ 11,Chulalongkorn 11
0,1-1,29,main,go,10,4596,13.738683035,100.5170285,สถานีรถไฟหัวลำโพง(ฝั่งรองเมือง),Train Station Hua Lamphong
0,1-1,29,main,go,11,4596,13.738683035,100.5170285,สถานีรถไฟหัวลำโพง(ฝั่งรองเมือง),Train Station Hua Lamphong
0,1-1,29,main,go,12,4749,13.73965572,100.51629654,สถานีรถไฟหัวลำโพง,Bangkok Hua Lamphong Railway Station
0,1-1,29,main,go,13,4749,13.73965572,100.51629654,สถานีรถไฟหัวลำโพง,Bangkok Hua Lamphong Railway Station
0,1-1,29,main,go,14,4749,13.73965572,100.51629654,สถานีรถไฟหัวลำโพง,Bangkok Hua Lamphong Railway Station
0,1-1,29,main,go,15,4749,13.73965572,100.51629654,สถานีรถไฟหัวลำโพง,Bangkok Hua Lamphong Railway Station
1,1-1,29,main,back,0,4749,13.73965572,100.51629654,สถานีรถไฟหัวลำโพง,Bangkok Hua Lamphong Railway Station
1,1-1,29,main,back,1,4596,13.738683035,100.5170285,สถานีรถไฟหัวลำโพง(ฝั่งรองเมือง),Train Station Hua Lamphong
1,1-1,29,main,back,2,4596,13.738683035,100.5170285,สถานีรถไฟหัวลำโพง(ฝั่งรองเมือง),Train Station Hua Lamphong
1,1-1,29,main,back,3,4053,13.735598029,100.52232204,สะพานเหลือง,Yellow Bridge
1,1-1,29,main,back,4,3070,13.73417265,100.5290998,ป้ายรถประจำทาง สามย่าน,Sam Yan bus stop
1,1-1,29,main,back,5,3071,13.73419817,100.5288353,สามย่านมิตรทาวน์,Sam Yan Mit Town
1,1-1,29,main,back,6,2717,13.75477089,100.5327241,กรมปศุสัตว์,Department of Livestock Development
